segment,loan_count,defaults,nonperforming,ead_total,ead_avg,ead_avg_defaulted,pd_count,pd_dollar,pd_count_npl,pd_dollar_npl,lgd,el_amount,el_rate,el_per_loan
<=50k,458365,73713,75053,12546557703.05,27372.0,27607.0,0.1608,0.1622,0.1637,0.1656,0.8326,1694273257.43,0.135,3696.0
50k-150k,260397,28699,30929,27003549235.42,103701.0,103419.0,0.1102,0.1099,0.1188,0.1193,0.7287,2162830067.64,0.0801,8306.0
150k-350k,163918,14908,17044,41215830577.75,251442.0,250491.0,0.0909,0.0906,0.104,0.1046,0.6694,2499574576.55,0.0606,15249.0
350k-1m,137852,11241,13365,83101267705.76,602830.0,596265.0,0.0815,0.0807,0.097,0.0966,0.6032,4043270328.02,0.0487,29331.0
1m-2m,49362,3599,4715,70568429862.67,1429610.0,1432791.0,0.0729,0.0731,0.0955,0.0959,0.5741,2960221353.32,0.0419,59970.0
>2m,17125,502,1361,53373375500.0,3116693.0,3058141.0,0.0293,0.0288,0.0795,0.0797,0.5251,806091629.08,0.0151,47071.0
